ID,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Name,Latitude,Longitude
85240,13.0,0.0,8.0,0.0,12.0,0.0,8.0,6.0,5.0,10.0,0.0,14.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,27.0,6.0,5.0,18.0,0.0,12.0,0.0,6.0,15.0,0.0,8.0,8.0,23.0,6.0,10.0,6.0,8.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,27.0,5.0,0.0,Malmslätt,58.398,15.523
94050,15.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,8.0,0.0,7.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,6.0,0.0,0.0,18.0,7.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,8.0,7.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,20.0,5.0,0.0,Åtorp,59.0963,14.3652
97200,13.0,0.0,6.0,17.0,15.0,0.0,8.0,0.0,5.0,6.0,0.0,12.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,6.0,5.0,0.0,27.0,5.0,12.0,13.0,0.0,10.0,0.0,12.0,23.0,13.0,7.0,8.0,22.0,6.0,9.0,6.0,10.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,24.0,5.0,0.0,Stockholm-Bromma,59.3537,17.9513
97530,23.0,6.0,7.0,11.0,15.0,0.0,8.0,7.0,5.0,6.0,0.0,7.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,6.0,10.0,0.0,22.0,7.0,0.0,10.0,0.0,11.0,0.0,7.0,20.0,16.0,7.0,10.0,15.0,6.0,8.0,7.0,10.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,25.0,0.0,0.0,Uppsala Flygplats,59.9,17.593
98210,12.0,5.0,6.0,15.0,16.0,0.0,9.0,0.0,0.0,7.0,0.0,7.0,5.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,5.0,0.0,27.0,7.0,6.0,7.0,0.0,14.0,0.0,11.0,31.0,12.0,7.0,9.0,26.0,6.0,9.0,11.0,15.0,10.0,0.0,0.0,20.0,0.0,6.0,0.0,24.0,5.0,0.0,Stockholm,59.3417,18.0549
99270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,Svenska Högarna,59.4439,19.5028
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Bjuröklubb,64.48024999076306,21.577050000000668
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Skagsudde,63.187849999780425,19.019649999999945
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Storlien-Visjövalen/Storlien-Storvallen,63.2926999892708,12.123550000090392
12,999.0,999.0,999.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0,0.0,999.0,999.0,0.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Storöhamn/Storön,65.71389998998208,23.094149999706367
13,16.0,6.0,5.0,6.0,12.0,0.0,7.0,0.0,0.0,5.0,0.0,8.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,12.0,6.0,0.0,0.0,6.0,0.0,15.0,0.0,0.0,0.0,0.0,22.0,9.0,6.0,10.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,5.0,24.0,0.0,5.0,0.0,15.0,5.0,0.0,Fränsta/Torpshammar,62.5053957465833,16.24289999305385
14,13.0,10.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,11.0,999.0,0.0,9.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,8.0,7.0,0.0,8.0,10.0,0.0,7.0,0.0,0.0,16.0,0.0,11.0,0.0,17.0,6.0,0.0,Fagered/Ullared,57.155598433311766,12.793050013043178
15,11.0,6.0,6.0,6.0,15.0,0.0,8.0,7.0,5.0,6.0,0.0,7.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,11.0,0.0,27.0,7.0,0.0,28.0,0.0,12.0,0.0,7.0,26.0,9.0,7.0,10.0,16.0,6.0,14.0,8.0,10.0,17.0,0.0,5.0,20.0,0.0,6.0,0.0,33.0,6.0,0.0,Uppsala,59.85279995618946,17.62859999995105
16,999.0,6.0,7.0,7.0,14.0,0.0,13.0,0.0,5.0,14.0,0.0,7.0,0.0,23.0,8.0,0.0,0.0,999.0,0.0,0.0,5.0,0.0,6.0,6.0,0.0,22.0,6.0,0.0,12.0,0.0,7.0,0.0,11.0,999.0,0.0,7.0,7.0,16.0,5.0,0.0,7.0,9.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,23.0,5.0,0.0,Växjö,56.844499856155586,14.823599999970346
17,14.0,5.0,0.0,5.0,13.0,0.0,8.0,0.0,5.0,10.0,0.0,14.0,0.0,23.0,999.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,6.0,8.0,17.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,31.0,5.0,0.0,Godegård/Zinkgruvan,58.79984811992073,15.14735000152061
18,999.0,6.0,0.0,10.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,11.0,0.0,0.0,999.0,0.0,5.0,6.0,0.0,6.0,6.0,0.0,30.0,0.0,0.0,10.0,0.0,11.0,0.0,6.0,5.0,6.0,6.0,9.0,18.0,7.0,7.0,9.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,24.0,5.0,0.0,Älvdalen,61.254249999549245,14.03514999999993
19,999.0,5.0,0.0,10.0,13.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,9.0,999.0,0.0,0.0,0.0,5.0,0.0,7.0,10.0,7.0,6.0,7.0,7.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,Åmotsbruk/Åmot,60.96294885287453,16.44550000065295
2,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,22.0,0.0,0.0,Gotska,58.393349991236015,19.195500000000546
3,0.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,0.0,0.0,Haparanda,65.83019999735968,24.112100000023126
4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,0.0,Harstena,58.25034999881878,17.01004999999998
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,19.0,0.0,0.0,Hoburg,56.92154998777776,18.148849999999182
6,999.0,0.0,0.0,7.0,0.0,5.0,6.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,7.0,5.0,7.0,5.0,6.0,0.0,999.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,Hoting,64.10554963278071,16.225249998068083
7,999.0,0.0,0.0,5.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,Hunge,62.752199948708835,15.088300000012577
8,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,Naimakka,68.67704998297359,21.52530000000316
9,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,5.0,5.0,6.0,5.0,9.0,0.0,7.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,11.0,6.0,0.0,Kullen/Nyhamnsläge,56.27314253170203,12.497049980438288
